,home,away,home_total,home_ml,away_total,away_ml
345,NewOrleans,Detroit,103,-110,105,-110
346,Houston,Sacramento,118,-900,119,600
347,Milwaukee,Orlando,110,-1000,101,650
348,Phoenix,Minnesota,125,-160,109,140
349,Utah,OklahomaCity,90,-420,104,320
350,GoldenState,Memphis,102,-160,110,140
351,Philadelphia,Denver,97,-220,92,180
352,Charlotte,Washington,114,110,107,-130
353,Miami,Atlanta,135,-425,121,325
354,Portland,NewYork,115,-500,87,375
355,Indiana,Boston,122,-120,117,100
356,Toronto,LAClippers,92,130,112,-150
357,Orlando,LALakers,87,330,96,-430
358,Cleveland,Houston,110,550,116,-800
359,Brooklyn,Charlotte,108,-550,113,400
360,Minnesota,Utah,116,-115,127,-105
361,Chicago,Atlanta,136,-275,102,225
362,Phoenix,Memphis,108,-300,115,240
363,Milwaukee,NewOrleans,127,-450,112,350
364,Sacramento,OklahomaCity,94,-125,93,105
365,GoldenState,NewYork,122,-210,124,175
366,Boston,Philadelphia,109,-115,115,-105
367,SanAntonio,Cleveland,109,-900,117,600
368,Detroit,Dallas,111,250,122,-310
369,Denver,Portland,114,-330,99,260
370,Orlando,Houston,107,225,130,-275
371,Philadelphia,NewOrleans,116,-310,109,250
372,Atlanta,Indiana,100,215,110,-265
373,Memphis,Milwaukee,114,700,127,-1100
374,Miami,LALakers,110,190,113,-240
375,Minnesota,LAClippers,117,170,124,-200
376,Chicago,Charlotte,73,-280,83,230
377,Sacramento,NewYork,101,-430,103,330
378,Utah,GoldenState,114,-1400,106,800
379,Phoenix,SanAntonio,119,105,121,-125
380,Toronto,Brooklyn,110,-320,102,255
381,Chicago,LAClippers,109,135,106,-155
382,Memphis,Washington,128,-125,111,105
383,Dallas,Miami,118,-425,122,325
384,Milwaukee,Cleveland,125,-1500,108,850
385,Houston,Detroit,107,-330,115,260
386,Denver,OklahomaCity,110,-260,102,210
387,NewOrleans,Orlando,119,-110,130,-110
388,Indiana,Charlotte,107,-800,85,550
389,Brooklyn,Philadelphia,109,145,89,-170
390,Atlanta,LALakers,96,575,101,-850
391,Denver,NewYork,111,-700,105,500
392,GoldenState,Sacramento,79,170,100,-200
393,Detroit,Washington,119,-140,133,120
394,Toronto,Cleveland,133,-1200,113,750
395,OklahomaCity,Chicago,109,-240,106,190
396,Memphis,Miami,118,125,111,-145
397,Houston,SanAntonio,109,-650,107,450
398,Milwaukee,Dallas,116,-750,120,525
399,Phoenix,Portland,110,115,111,-135
400,Charlotte,Sacramento,110,180,102,-220
401,Indiana,LALakers,105,100,102,-120
402,NewYork,Atlanta,143,-130,120,110
403,NewOrleans,Brooklyn,101,115,108,-135
404,Utah,Orlando,109,-280,102,230
405,LAClippers,Phoenix,120,-1500,99,850
406,Washington,Chicago,109,-115,110,-105
407,Detroit,Toronto,99,125,112,-145
408,Cleveland,Charlotte,100,-145,98,125
409,Philadelphia,Miami,104,-380,108,290
410,Minnesota,NewOrleans,99,-170,107,145
411,OklahomaCity,Memphis,126,-280,122,230
412,Dallas,Boston,103,110,109,-130
413,Denver,Orlando,113,-500,104,375
414,Portland,GoldenState,122,-500,112,375
415,Atlanta,Utah,106,230,111,-280
416,Milwaukee,LALakers,111,-160,104,140
417,SanAntonio,Brooklyn,118,-190,105,160
418,LAClippers,Houston,117,-220,122,180
419,Indiana,Sacramento,119,-220,105,180
420,Cleveland,Memphis,114,120,107,-140
421,Toronto,Washington,122,-270,118,220
422,Boston,Detroit,114,-450,93,350
423,Miami,NewYork,129,-550,114,400
424,OklahomaCity,Phoenix,126,-150,108,130
425,Philadelphia,Dallas,98,-425,117,325
426,Denver,Minnesota,109,-750,100,525
427,Portland,Orlando,118,-170,103,145
428,GoldenState,NewOrleans,106,110,102,-130
429,Charlotte,Utah,107,240,114,-300
430,Brooklyn,Atlanta,122,-340,112,270
431,Philadelphia,Washington,125,-1100,108,700
432,Detroit,Chicago,107,105,119,-125
433,NewYork,Milwaukee,102,750,123,-1200
434,Memphis,Sacramento,119,115,115,-135
435,SanAntonio,LAClippers,109,250,134,-310
436,Phoenix,Houston,125,325,139,-425
437,Portland,Minnesota,113,-280,106,230
438,Toronto,Dallas,110,-125,107,105
439,Boston,Charlotte,119,-1000,93,650
440,Milwaukee,Indiana,117,-410,89,310
441,OklahomaCity,LAClippers,118,-120,112,100
442,LALakers,Denver,104,-140,128,120
443,Detroit,Philadelphia,109,225,125,-275
444,Indiana,Toronto,120,-245,115,195
445,Orlando,Chicago,103,-200,95,170
446,NewYork,Washington,115,-170,121,145
447,Cleveland,Atlanta,121,110,118,-130
448,Miami,Utah,107,-190,104,160
449,Memphis,SanAntonio,115,-105,145,-115
450,Phoenix,Denver,111,120,113,-140
451,Sacramento,Houston,104,220,113,-270
452,Portland,NewOrleans,94,-250,102,200
453,GoldenState,Minnesota,113,-115,104,-105
454,Toronto,Boston,102,155,118,-185
455,Philadelphia,Milwaukee,121,130,109,-150
456,GoldenState,Houston,116,550,104,-800
457,LALakers,LAClippers,106,-140,111,120
458,Denver,NewOrleans,100,-500,112,375
459,Detroit,Washington,132,-280,102,230
460,OklahomaCity,Memphis,97,-265,110,215
461,Brooklyn,NewYork,82,-340,94,270
462,Dallas,SanAntonio,102,-360,98,280
463,Sacramento,Minnesota,104,-300,105,240
464,Utah,Portland,121,-240,115,190
465,Boston,Cleveland,129,-1400,117,800
466,Orlando,Philadelphia,98,155,97,-185
467,Charlotte,OklahomaCity,102,-105,104,-115
468,Atlanta,Milwaukee,86,275,112,-350
469,Miami,Indiana,113,-210,112,175
470,GoldenState,Phoenix,105,145,96,-170
471,Denver,Memphis,119,-500,110,375
472,NewOrleans,Indiana,120,-125,98,105
473,Boston,Toronto,97,-330,113,260
474,Miami,Philadelphia,117,-120,116,100
475,Washington,NewYork,100,140,107,-160
476,Minnesota,Cleveland,88,-280,94,230
477,Houston,Brooklyn,108,-500,98,375
478,Chicago,Atlanta,116,-600,81,425
479,Milwaukee,Orlando,111,-270,100,220
480,GoldenState,Dallas,121,500,141,-700
481,SanAntonio,Detroit,136,-220,109,180
482,Sacramento,Phoenix,110,-140,112,120
483,Portland,LALakers,120,190,128,-240
484,LAClippers,Utah,107,-360,120,280
485,Toronto,OklahomaCity,97,-190,98,160
486,NewOrleans,Houston,127,-220,112,180
487,Memphis,Charlotte,117,-145,104,125
488,Denver,Sacramento,120,-350,115,275
489,LALakers,Dallas,108,-210,95,175
490,Orlando,Atlanta,93,-700,101,500
491,Washington,Miami,123,525,105,-750
492,Minnesota,Brooklyn,122,170,115,-200
493,Chicago,Milwaukee,102,350,123,-450
494,Utah,Detroit,104,-500,81,375
495,Portland,Phoenix,116,-170,122,145
496,Charlotte,Boston,92,300,109,-400
497,Indiana,Philadelphia,115,-155,97,135
498,Sacramento,LAClippers,87,230,105,-280
499,SanAntonio,GoldenState,117,-750,113,525
500,Toronto,Cleveland,117,-450,97,350
501,Houston,Denver,130,-280,104,230
502,OklahomaCity,Dallas,106,125,101,-145
503,Washington,Orlando,101,145,122,-170
504,NewYork,Portland,117,150,93,-180
505,Milwaukee,Minnesota,106,-5000,104,1500
506,LALakers,Phoenix,117,-750,107,525
507,Cleveland,Charlotte,106,-130,109,110
508,Indiana,Denver,116,-105,124,-115
509,Miami,Toronto,84,-220,76,180
510,Minnesota,GoldenState,99,-150,84,130
511,Chicago,Utah,98,145,102,-170
512,SanAntonio,OklahomaCity,103,-135,109,115
513,Dallas,Brooklyn,123,-360,111,280
514,Sacramento,Memphis,128,-200,123,170
515,LAClippers,Detroit,126,-1000,112,650
516,Orlando,Miami,105,-120,85,100
517,Boston,Atlanta,109,-650,106,450
